=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
背景画像数: 83
利用可能オノマトペ数: 67
================================================================================

画像 001.png:
  背景ファイル: 001.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 14
    オノマトペ1: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 66x40
      配置位置: (1342,511)
      スケール: 0.001705
      スケール比: 0.0430
    オノマトペ2: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 30x87
      配置位置: (810,905)
      スケール: 0.001704
      スケール比: 0.0195
    オノマトペ3: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 39x19
      配置位置: (1316,469)
      スケール: 0.000500
      スケール比: 0.0254
    オノマトペ4: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 17x55
      配置位置: (292,271)
      スケール: 0.000622
      スケール比: 0.0111
    オノマトペ5: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 87x21
      配置位置: (285,252)
      スケール: 0.001220
      スケール比: 0.0566
    オノマトペ6: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 45x52
      配置位置: (1149,551)
      スケール: 0.001526
      スケール比: 0.0293
    オノマトペ7: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 68x190
      配置位置: (538,764)
      スケール: 0.008320
      スケール比: 0.0443
    オノマトペ8: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 62x35
      配置位置: (1197,438)
      スケール: 0.001429
      スケール比: 0.0404
    オノマトペ9: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 29x66
      配置位置: (741,224)
      スケール: 0.001263
      スケール比: 0.0189
    オノマトペ10: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 41x161
      配置位置: (283,521)
      スケール: 0.004315
      スケール比: 0.0267
    オノマトペ11: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 75x41
      配置位置: (1010,93)
      スケール: 0.001983
      スケール比: 0.0488
    オノマトペ12: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 71x39
      配置位置: (96,881)
      スケール: 0.001808
      スケール比: 0.0462
    オノマトペ13: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 96x48
      配置位置: (224,156)
      スケール: 0.002993
      スケール比: 0.0625
    オノマトペ14: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 141x60
      配置位置: (1285,163)
      スケール: 0.005412
      スケール比: 0.0918

画像 002.png:
  背景ファイル: 002.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 59x32
      配置位置: (788,390)
      スケール: 0.001218
      スケール比: 0.0384
    オノマトペ2: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 25x72
      配置位置: (1220,479)
      スケール: 0.001193
      スケール比: 0.0163

画像 003.png:
  背景ファイル: 003.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 38x80
      配置位置: (539,512)
      スケール: 0.001982
      スケール比: 0.0247
    オノマトペ2: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 20x58
      配置位置: (365,519)
      スケール: 0.000775
      スケール比: 0.0130
    オノマトペ3: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 17x50
      配置位置: (217,891)
      スケール: 0.000573
      スケール比: 0.0111
    オノマトペ4: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 24x51
      配置位置: (1280,305)
      スケール: 0.000788
      スケール比: 0.0156
    オノマトペ5: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 48x21
      配置位置: (1308,519)
      スケール: 0.000680
      スケール比: 0.0312
    オノマトペ6: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 46x28
      配置位置: (1247,203)
      スケール: 0.000839
      スケール比: 0.0299
    オノマトペ7: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 119x65
      配置位置: (313,382)
      スケール: 0.004982
      スケール比: 0.0775
    オノマトペ8: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 20x60
      配置位置: (330,552)
      スケール: 0.000798
      スケール比: 0.0130
    オノマトペ9: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 67x37
      配置位置: (1086,940)
      スケール: 0.001619
      スケール比: 0.0436
    オノマトペ10: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 58x33
      配置位置: (1,613)
      スケール: 0.001242
      スケール比: 0.0378
    オノマトペ11: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 30x54
      配置位置: (663,500)
      スケール: 0.001053
      スケール比: 0.0195
    オノマトペ12: 044.png
      元サイズ: 1536x1024
      クロップサイズ: 1030x521
      最終サイズ: 105x53
      配置位置: (39,114)
      スケール: 0.003608
      スケール比: 0.0684
    オノマトペ13: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 36x86
      配置位置: (743,899)
      スケール: 0.002005
